21:00:42 - 来自: main.py:1740 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x00000234FEC0CF70>'}
21:10:31 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(563, 29, 1121, 82), (564, 29, 1121, 82), (614, 29, 1121, 82), (615, 29, 1121, 82), (562, 30, 1121, 82), (563, 30, 1121, 82), (564, 30, 1121, 82), (613, 30, 1121, 82), (614, 30, 1121, 82), (615, 30, 1121, 82), (562, 31, 1121, 82), (563, 31, 1121, 82), (564, 31, 1121, 82), (613, 31, 1121, 82), (614, 31, 1121, 82), (615, 31, 1121, 82), (562, 32, 1121, 82), (563, 32, 1121, 82), (564, 32, 1121, 82), (612, 32, 1121, 82), (613, 32, 1121, 82), (614, 32, 1121, 82), (562, 33, 1121, 82), (563, 33, 1121, 82), (613, 33, 1121, 82), (614, 33, 1121, 82)]', 'distance': '25'}
21:10:31 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(563, 29, 1121, 82), (614, 29, 1121, 82)])
21:10:31 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(664, 29, 1121, 82), (714, 29, 1121, 82), (715, 29, 1121, 82), (716, 29, 1121, 82), (664, 30, 1121, 82), (665, 30, 1121, 82), (714, 30, 1121, 82), (715, 30, 1121, 82), (716, 30, 1121, 82), (664, 31, 1121, 82), (714, 31, 1121, 82), (715, 31, 1121, 82), (716, 31, 1121, 82)]', 'distance': '25'}
21:10:31 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(664, 29, 1121, 82), (714, 29, 1121, 82)])
21:10:31 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(765, 29, 1121, 82), (766, 29, 1121, 82), (816, 29, 1121, 82), (817, 29, 1121, 82)]', 'distance': '25'}
21:10:31 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(765, 29, 1121, 82), (816, 29, 1121, 82)])
21:10:31 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(916, 29, 1121, 82), (917, 29, 1121, 82), (918, 29, 1121, 82), (866, 30, 1121, 82), (916, 30, 1121, 82), (917, 30, 1121, 82), (918, 30, 1121, 82), (865, 31, 1121, 82), (866, 31, 1121, 82), (915, 31, 1121, 82), (916, 31, 1121, 82), (917, 31, 1121, 82), (918, 31, 1121, 82), (866, 32, 1121, 82), (915, 32, 1121, 82), (916, 32, 1121, 82), (917, 32, 1121, 82)]', 'distance': '25'}
21:10:31 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(916, 29, 1121, 82), (866, 30, 1121, 82)])
21:10:31 -             来自: main.py:383 - find_my_cards                    | 函数返回            | __main__.cards_info                      | 返回值: X2AQQJT9877665544
21:10:31 -         来自: main.py:761 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: X2AQQJT9877665544
21:10:31 -         来自: main.py:818 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'jiao_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
21:10:31 -         来自: main.py:818 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
21:10:31 -         来自: main.py:836 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'qiang_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
21:10:31 -         来自: main.py:836 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
21:10:31 -     来自: main.py:281 - run                              | 函数返回            | __main__.before_start                    | 返回值: None
21:10:31 - 来自: main.py:1742 - <module>                        | 调用函数            | __main__.state_display                   | 参数: {'self': '<__main__.MaYun object at 0x00000234FEC0CF70>', 'result': '加倍阶段结束'}
21:10:31 -     来自: main.py:283 - run                              | 调用函数            | __main__.init_cards                      | 参数: {'self': '<__main__.Worker object at 0x00000234FF5F2550>'}
21:10:31 - 来自: main.py:1742 - <module>                        | 函数返回            | __main__.state_display                   | 返回值: None
21:10:31 - 来自: main.py:1742 - <module>                        | 调用函数            | __main__.state_display                   | 参数: {'self': '<__main__.MaYun object at 0x00000234FEC0CF70>', 'result': '出牌前阶段'}
21:10:31 -     来自: main.py:283 - run                              | 函数异常            | __main__.init_cards                      | 异常类型: TypeError | 异常信息: object of type 'NoneType' has no len() | 堆栈跟踪: Traceback (most recent call last):
  File "c:\Users\User\Desktop\douzero项目汇总\测试用\5.8源码cursor版\log_utils.py", line 128, in wrapper
    result = func(*args, **kwargs)
  File "c:/Users/User/Desktop/douzero项目汇总/测试用/5.8源码cursor版/main.py", line 939, in init_cards
    while len(self.three_cards_real) != 3:
TypeError: object of type 'NoneType' has no len()

21:10:31 - 来自: main.py:1742 - <module>                        | 函数返回            | __main__.state_display                   | 返回值: None
21:10:33 -     来自: main.py:281 - run                              | 调用函数            | __main__.before_start                    | 参数: {'self': '<__main__.Worker object at 0x00000234FF5F2550>'}
21:10:33 -         来自: main.py:703 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x00000234FF5F2550>'}
21:10:33 -             来自: main.py:383 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x00000234FF5F2550>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(104, 26, 1121, 82), (104, 27, 1121, 82), (105, 27, 1121, 82), (104, 28, 1121, 82)]', 'distance': '25'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(104, 26, 1121, 82)])
21:10:33 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(106, 27, 1121, 82), (107, 27, 1121, 82), (106, 28, 1121, 82), (107, 28, 1121, 82), (108, 28, 1121, 82), (106, 29, 1121, 82), (107, 29, 1121, 82)]', 'distance': '25'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(106, 27, 1121, 82)])
21:10:33 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(159, 30, 1121, 82), (158, 31, 1121, 82), (159, 31, 1121, 82), (158, 32, 1121, 82)]', 'distance': '25'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(159, 30, 1121, 82)])
21:10:33 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(208, 29, 1121, 82), (209, 29, 1121, 82), (208, 30, 1121, 82), (209, 30, 1121, 82), (208, 31, 1121, 82), (209, 31, 1121, 82)]', 'distance': '25'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(208, 29, 1121, 82)])
21:10:33 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(259, 30, 1121, 82), (309, 30, 1121, 82), (310, 30, 1121, 82), (259, 31, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (259, 32, 1121, 82), (310, 32, 1121, 82)]', 'distance': '25'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(259, 30, 1121, 82), (309, 30, 1121, 82)])
21:10:33 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(360, 28, 1121, 82), (361, 28, 1121, 82), (360, 29, 1121, 82), (361, 29, 1121, 82), (362, 29, 1121, 82), (359, 30, 1121, 82), (360, 30, 1121, 82), (361, 30, 1121, 82), (362, 30, 1121, 82), (360, 31, 1121, 82), (361, 31, 1121, 82), (362, 31, 1121, 82), (360, 32, 1121, 82), (361, 32, 1121, 82)]', 'distance': '25'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(360, 28, 1121, 82)])
21:10:33 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(411, 28, 1121, 82), (410, 29, 1121, 82), (411, 29, 1121, 82), (410, 30, 1121, 82), (411, 30, 1121, 82), (410, 31, 1121, 82), (411, 31, 1121, 82), (410, 32, 1121, 82), (411, 32, 1121, 82), (410, 33, 1121, 82), (411, 33, 1121, 82)]', 'distance': '25'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(411, 28, 1121, 82)])
21:10:33 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(462, 30, 1121, 82), (463, 30, 1121, 82), (462, 31, 1121, 82), (463, 31, 1121, 82), (464, 31, 1121, 82), (462, 32, 1121, 82), (463, 32, 1121, 82)]', 'distance': '25'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(462, 30, 1121, 82)])
21:10:33 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(511, 30, 1121, 82), (512, 30, 1121, 82), (513, 30, 1121, 82), (511, 31, 1121, 82), (512, 31, 1121, 82), (513, 31, 1121, 82), (511, 32, 1121, 82), (512, 32, 1121, 82), (513, 32, 1121, 82)]', 'distance': '25'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(511, 30, 1121, 82)])
21:10:33 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(563, 29, 1121, 82), (564, 29, 1121, 82), (614, 29, 1121, 82), (615, 29, 1121, 82), (562, 30, 1121, 82), (563, 30, 1121, 82), (564, 30, 1121, 82), (613, 30, 1121, 82), (614, 30, 1121, 82), (615, 30, 1121, 82), (562, 31, 1121, 82), (563, 31, 1121, 82), (564, 31, 1121, 82), (613, 31, 1121, 82), (614, 31, 1121, 82), (615, 31, 1121, 82), (562, 32, 1121, 82), (563, 32, 1121, 82), (564, 32, 1121, 82), (612, 32, 1121, 82), (613, 32, 1121, 82), (614, 32, 1121, 82), (562, 33, 1121, 82), (563, 33, 1121, 82), (613, 33, 1121, 82), (614, 33, 1121, 82)]', 'distance': '25'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(563, 29, 1121, 82), (614, 29, 1121, 82)])
21:10:33 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(664, 29, 1121, 82), (714, 29, 1121, 82), (715, 29, 1121, 82), (716, 29, 1121, 82), (664, 30, 1121, 82), (665, 30, 1121, 82), (714, 30, 1121, 82), (715, 30, 1121, 82), (716, 30, 1121, 82), (664, 31, 1121, 82), (714, 31, 1121, 82), (715, 31, 1121, 82), (716, 31, 1121, 82)]', 'distance': '25'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(664, 29, 1121, 82), (714, 29, 1121, 82)])
21:10:33 -                 来自: main.py:329 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(765, 29, 1121, 82), (766, 29, 1121, 82), (816, 29, 1121, 82), (817, 29, 1121, 82)]', 'distance': '25'}
21:10:33 -                 来自: main.py:329 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(765, 29, 1121, 82), (816, 29, 1121, 82)])
