00:39:50 - 来自: main.py:1742 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x000001EC41569040>'}
00:40:54 -             来自: main.py:384 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x000001EC42F445E0>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
00:40:54 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(108, 30, 1121, 82), (107, 31, 1121, 82), (108, 31, 1121, 82)]', 'distance': '25'}
00:40:54 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(108, 30, 1121, 82)])
00:40:54 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(158, 28, 1121, 82), (157, 29, 1121, 82), (158, 29, 1121, 82), (159, 29, 1121, 82), (157, 30, 1121, 82), (158, 30, 1121, 82), (159, 30, 1121, 82)]', 'distance': '25'}
00:40:54 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(158, 28, 1121, 82)])
00:40:54 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(208, 30, 1121, 82), (208, 31, 1121, 82), (209, 31, 1121, 82), (209, 32, 1121, 82)]', 'distance': '25'}
00:40:54 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(208, 30, 1121, 82)])
00:40:54 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(259, 28, 1121, 82), (260, 28, 1121, 82), (259, 29, 1121, 82), (260, 29, 1121, 82), (258, 30, 1121, 82), (259, 30, 1121, 82), (260, 30, 1121, 82), (261, 30, 1121, 82), (259, 31, 1121, 82), (260, 31, 1121, 82), (259, 32, 1121, 82), (260, 32, 1121, 82)]', 'distance': '25'}
00:40:54 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(259, 28, 1121, 82)])
00:40:54 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(309, 30, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (309, 32, 1121, 82)]', 'distance': '25'}
00:40:54 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(309, 30, 1121, 82)])
00:40:54 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(361, 30, 1121, 82), (362, 30, 1121, 82), (360, 31, 1121, 82), (361, 31, 1121, 82), (362, 31, 1121, 82), (363, 31, 1121, 82), (361, 32, 1121, 82), (362, 32, 1121, 82)]', 'distance': '25'}
00:40:54 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(361, 30, 1121, 82)])
00:40:54 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(411, 30, 1121, 82), (461, 30, 1121, 82), (462, 30, 1121, 82), (410, 31, 1121, 82), (411, 31, 1121, 82), (460, 31, 1121, 82), (461, 31, 1121, 82), (462, 31, 1121, 82), (463, 31, 1121, 82), (411, 32, 1121, 82), (461, 32, 1121, 82), (462, 32, 1121, 82)]', 'distance': '25'}
00:40:54 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(411, 30, 1121, 82), (461, 30, 1121, 82)])
00:40:54 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(513, 29, 1121, 82), (514, 29, 1121, 82), (512, 30, 1121, 82), (513, 30, 1121, 82), (514, 30, 1121, 82), (511, 31, 1121, 82), (512, 31, 1121, 82), (513, 31, 1121, 82), (514, 31, 1121, 82), (511, 32, 1121, 82), (512, 32, 1121, 82), (513, 32, 1121, 82), (511, 33, 1121, 82), (512, 33, 1121, 82), (513, 33, 1121, 82)]', 'distance': '25'}
00:40:54 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(513, 29, 1121, 82)])
00:40:54 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(613, 28, 1121, 82), (614, 28, 1121, 82), (615, 28, 1121, 82), (714, 28, 1121, 82), (715, 28, 1121, 82), (716, 28, 1121, 82), (563, 29, 1121, 82), (564, 29, 1121, 82), (613, 29, 1121, 82), (614, 29, 1121, 82), (615, 29, 1121, 82), (664, 29, 1121, 82), (665, 29, 1121, 82), (714, 29, 1121, 82), (715, 29, 1121, 82), (716, 29, 1121, 82), (717, 29, 1121, 82), (613, 30, 1121, 82), (614, 30, 1121, 82), (615, 30, 1121, 82), (714, 30, 1121, 82), (715, 30, 1121, 82), (716, 30, 1121, 82)]', 'distance': '25'}
00:40:54 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (4, [(613, 28, 1121, 82), (714, 28, 1121, 82), (563, 29, 1121, 82), (664, 29, 1121, 82)])
00:40:54 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(764, 29, 1121, 82), (765, 29, 1121, 82), (766, 29, 1121, 82), (764, 30, 1121, 82), (765, 30, 1121, 82), (766, 30, 1121, 82), (763, 31, 1121, 82), (764, 31, 1121, 82), (765, 31, 1121, 82), (766, 31, 1121, 82), (763, 32, 1121, 82), (764, 32, 1121, 82), (765, 32, 1121, 82), (766, 32, 1121, 82)]', 'distance': '25'}
00:40:54 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(764, 29, 1121, 82)])
00:40:54 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(815, 30, 1121, 82), (816, 30, 1121, 82), (817, 30, 1121, 82), (916, 30, 1121, 82), (917, 30, 1121, 82), (918, 30, 1121, 82), (814, 31, 1121, 82), (815, 31, 1121, 82), (816, 31, 1121, 82), (817, 31, 1121, 82), (866, 31, 1121, 82), (867, 31, 1121, 82), (915, 31, 1121, 82), (916, 31, 1121, 82), (917, 31, 1121, 82), (918, 31, 1121, 82), (815, 32, 1121, 82), (816, 32, 1121, 82), (817, 32, 1121, 82), (916, 32, 1121, 82), (917, 32, 1121, 82), (918, 32, 1121, 82)]', 'distance': '25'}
00:40:54 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(815, 30, 1121, 82), (916, 30, 1121, 82), (866, 31, 1121, 82)])
00:40:54 -             来自: main.py:384 - find_my_cards                    | 函数返回            | __main__.cards_info                      | 返回值: 2KQJT988755554333
00:40:54 -         来自: main.py:762 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 2KQJT988755554333
00:40:54 -         来自: main.py:819 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'jiao_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
00:40:54 -         来自: main.py:819 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
00:40:54 -         来自: main.py:837 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'qiang_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
00:40:54 -         来自: main.py:837 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
00:40:54 -         来自: main.py:849 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'over', 'pos': '(95, 209, 1053, 465)', 'click': 'False'}
00:40:54 -         来自: main.py:849 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
00:40:54 -     来自: main.py:282 - run                              | 函数异常            | __main__.before_start                    | 异常类型: NameError | 异常信息: name '检测并处理明牌按钮' is not defined | 堆栈跟踪: Traceback (most recent call last):
  File "c:\Users\User\Desktop\douzero项目汇总\测试用\5.8源码cursor版\log_utils.py", line 128, in wrapper
    result = func(*args, **kwargs)
  File "c:/Users/User/Desktop/douzero项目汇总/测试用/5.8源码cursor版/main.py", line 901, in before_start
    检测并处理明牌按钮
NameError: name '检测并处理明牌按钮' is not defined

00:40:54 -     来自: main.py:284 - run                              | 调用函数            | __main__.init_cards                      | 参数: {'self': '<__main__.Worker object at 0x000001EC42F445E0>'}
00:40:54 - 来自: main.py:1744 - <module>                        | 调用函数            | __main__.state_display                   | 参数: {'self': '<__main__.MaYun object at 0x000001EC41569040>', 'result': '出牌前阶段'}
00:40:54 -     来自: main.py:284 - run                              | 函数异常            | __main__.init_cards                      | 异常类型: TypeError | 异常信息: object of type 'NoneType' has no len() | 堆栈跟踪: Traceback (most recent call last):
  File "c:\Users\User\Desktop\douzero项目汇总\测试用\5.8源码cursor版\log_utils.py", line 128, in wrapper
    result = func(*args, **kwargs)
  File "c:/Users/User/Desktop/douzero项目汇总/测试用/5.8源码cursor版/main.py", line 941, in init_cards
    while len(self.three_cards_real) != 3:
TypeError: object of type 'NoneType' has no len()

00:40:54 - 来自: main.py:1744 - <module>                        | 函数返回            | __main__.state_display                   | 返回值: None
00:40:56 -     来自: main.py:282 - run                              | 调用函数            | __main__.before_start                    | 参数: {'self': '<__main__.Worker object at 0x000001EC42F445E0>'}
00:40:56 -         来自: main.py:704 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x000001EC42F445E0>'}
00:40:56 -             来自: main.py:384 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x000001EC42F445E0>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
00:40:56 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(108, 30, 1121, 82), (107, 31, 1121, 82), (108, 31, 1121, 82)]', 'distance': '25'}
00:40:56 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(108, 30, 1121, 82)])
00:40:56 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(158, 28, 1121, 82), (157, 29, 1121, 82), (158, 29, 1121, 82), (159, 29, 1121, 82), (157, 30, 1121, 82), (158, 30, 1121, 82), (159, 30, 1121, 82)]', 'distance': '25'}
00:40:56 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(158, 28, 1121, 82)])
00:40:56 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(208, 30, 1121, 82), (208, 31, 1121, 82), (209, 31, 1121, 82), (209, 32, 1121, 82)]', 'distance': '25'}
00:40:56 -                 来自: main.py:330 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(208, 30, 1121, 82)])
00:40:56 -                 来自: main.py:330 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(259, 28, 1121, 82), (260, 28, 1121, 82), (259, 29, 1121, 82), (260, 29, 1121, 82), (258, 30, 1121, 82), (259, 30, 1121, 82), (260, 30, 1121, 82), (261, 30, 1121, 82), (259, 31, 1121, 82), (260, 31, 1121, 82), (259, 32, 1121, 82), (260, 32, 1121, 82)]', 'distance': '25'}
